Layer 0: Avg MI_XZ: 2.1929, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.2595, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 1.1242, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 1.1697, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.0785, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.8859, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 1.1336, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.0022, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.4640, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 2.4844, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.7877, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 1.0836, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 2.3914, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.2441, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.9528, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 1.7388, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.0049, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.4625, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 1.6933, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 0.9620, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.5958, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 2.1560, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.6593, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 1.1188, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 2.1136, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.1553, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.7182, Avg MI_ZY: 0.0010
Layer 0: Avg MI_XZ: 1.7771, Avg MI_ZY: 0.0010
Layer 1: Avg MI_XZ: 1.0030, Avg MI_ZY: 0.0010
Layer 2: Avg MI_XZ: 0.8079, Avg MI_ZY: 0.0010
